version,metric,angle,noise,value
v2,angle,135.0,0.05,7.066958307641443
v2,angle,135.0,0.1,8.733920456562338
v2,angle,135.0,0.15,11.313811078983822
v2,angle,135.0,0.2,14.274716253307666
v2,angle,135.0,0.25,17.670853744371044
v2,angle,180.0,0.0,8.625978040350898
v2,angle,180.0,0.05,10.354765730463056
v2,angle,180.0,0.1,12.80575778708332
v2,angle,180.0,0.15,15.356983608133875
v2,angle,180.0,0.2,17.99715541940245
v2,angle,180.0,0.25,20.993124608703386
v2,angle,225.0,0.0,23.850045770981087
v2,angle,225.0,0.05,24.20014379035776
v2,angle,225.0,0.1,25.527519126116918
v2,angle,225.0,0.15,27.462877327927295
v2,angle,225.0,0.2,29.762924902083498
v2,angle,225.0,0.25,32.14024200884146
v2,angle,270.0,0.0,31.971772806754498
v2,angle,270.0,0.05,32.70638816412514
v2,angle,270.0,0.1,33.4875848460949
v2,angle,270.0,0.15,34.5579578853805
v2,angle,270.0,0.2,36.00232006452193
v2,angle,270.0,0.25,38.2865457802272
v2,angle,315.0,0.0,27.523073839176188
v2,angle,315.0,0.05,28.178341886747308
v2,angle,315.0,0.1,28.51517843228494
v2,angle,315.0,0.15,29.340738971652357
v2,angle,315.0,0.2,32.11592157006006
v2,angle,315.0,0.25,36.96159601086153
v2,length,0.0,0.0,44.617236280407056
v2,length,0.0,0.05,75.73286765120199
v2,length,0.0,0.1,132.1723139584131
v2,length,0.0,0.15,193.08502054651507
v2,length,0.0,0.2,254.91848396108833
v2,length,0.0,0.25,317.1565003777132
v2,length,45.0,0.0,35.318674729121085
v2,length,45.0,0.05,70.55923216199548
v2,length,45.0,0.1,129.61464432397813
v2,length,45.0,0.15,191.1398197159957
v2,length,45.0,0.2,253.4951786394567
v2,length,45.0,0.25,316.03478639889045
v2,length,90.0,0.0,30.224769241943633
v2,length,90.0,0.05,68.64316154786889
v2,length,90.0,0.1,128.74305355984933
v2,length,90.0,0.15,190.5363118474055
v2,length,90.0,0.2,252.95506312907327
v2,length,90.0,0.25,315.57051016307025
v2,length,135.0,0.0,35.414125827403836
v2,length,135.0,0.05,71.17610281853537
v2,length,135.0,0.1,130.0378145627658
v2,length,135.0,0.15,191.37507698949582
v2,length,135.0,0.2,253.4441399929094
v2,length,135.0,0.25,315.84533857877705
v2,length,180.0,0.0,44.71783387763861
v2,length,180.0,0.05,76.44861946011906
v2,length,180.0,0.1,132.82852650942584
v2,length,180.0,0.15,193.05619314589487
v2,length,180.0,0.2,254.68538246992378
v2,length,180.0,0.25,316.6172990128836
v2,length,225.0,0.0,51.93341863422583
v2,length,225.0,0.05,81.23801320852347
v2,length,225.0,0.1,135.48611852727237
v2,length,225.0,0.15,194.85656794586126
v2,length,225.0,0.2,255.98937761648375
v2,length,225.0,0.25,317.70251160062867
v2,length,270.0,0.0,54.54316796691635
v2,length,270.0,0.05,83.03149901747136
v2,length,270.0,0.1,136.32120429506597
v2,length,270.0,0.15,195.5892855144752
v2,length,270.0,0.2,256.58294399166664
v2,length,270.0,0.25,318.0553321823146
v2,length,315.0,0.0,51.8489580617307
v2,length,315.0,0.05,80.81257427756758
v2,length,315.0,0.1,135.09215574878175
v2,length,315.0,0.15,194.99116529834583
v2,length,315.0,0.2,256.2419888608159
v2,length,315.0,0.25,317.9967871419411
v3,distance,0.0,0.0,0.07306771230410973
v3,distance,0.0,0.05,0.15294547395221428
v3,distance,0.0,0.1,0.2692394166683522
v3,distance,0.0,0.15,0.4326075799617611
v3,distance,0.0,0.2,0.6412537159217879
v3,distance,0.0,0.25,0.8038316306011668
v3,distance,45.0,0.0,0.07135049969576178
v3,distance,45.0,0.05,0.15158950691254905
v3,distance,45.0,0.1,0.2840774361558699
v3,distance,45.0,0.15,0.428688997843605
v3,distance,45.0,0.2,0.6064530758954807
v3,distance,45.0,0.25,0.7765344697105115
v3,distance,90.0,0.0,0.06752657099761854
v3,distance,90.0,0.05,0.14918326772308296
v3,distance,90.0,0.1,0.27484411456884833
v3,distance,90.0,0.15,0.4295423096534521
v3,distance,90.0,0.2,0.6125224800913089
v3,distance,90.0,0.25,0.7727670362835152
v3,distance,135.0,0.0,0.07083451959023312
v3,distance,135.0,0.05,0.15140680625135952
v3,distance,135.0,0.1,0.2841365052932356
v3,distance,135.0,0.15,0.4638916284010606
v3,distance,135.0,0.2,0.6318735185664182
v3,distance,135.0,0.25,0.8007006734937756
v3,distance,180.0,0.0,0.07319075348395276
v3,distance,180.0,0.05,0.15461200497820785
v3,distance,180.0,0.1,0.2910406083839563
v3,distance,180.0,0.15,0.48965809708359964
v3,distance,180.0,0.2,0.6822286958661256
v3,distance,180.0,0.25,0.843211707073874
v3,distance,225.0,0.0,0.075390111175403
v3,distance,225.0,0.05,0.16306633101090987
v3,distance,225.0,0.1,0.30556273185802985
